time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
1.73,858,2.50036,2.81775,1.30689,-3.94219,1000.31,3682.58,0.790605,13.8527,2.26297,4.04272
1.74,858,2.51351,2.7785,1.32177,-3.90996,1000.31,3647.4,0.874797,13.9521,2.32546,4.14205
1.75,858,2.52682,2.73958,1.33784,-3.87645,1000.3,3530.75,0.922731,13.9076,2.31962,4.09756
1.76,858,2.54029,2.70099,1.35446,-3.84292,1000.29,3419.3,0.953661,13.8396,2.2993,4.02958
1.77,858,2.55394,2.66274,1.37189,-3.80808,1000.29,3406.69,1.0111,14.0009,2.34462,4.19085
1.78,858,2.56776,2.62486,1.3904,-3.77016,1000.29,3396.67,1.04402,14.2122,2.36645,4.40217
1.79,858,2.58176,2.58736,1.40931,-3.73024,1000.28,3301.51,1.02748,14.2073,2.30591,4.39731
1.8,858,2.59596,2.55026,1.42813,-3.69046,1000.27,3196.18,1.02209,14.1078,2.25297,4.29783
1.81,858,2.61034,2.51355,1.44712,-3.65083,1000.27,3148.4,1.0522,14.1142,2.25801,4.3042
1.82,858,2.62491,2.47725,1.4665,-3.61065,1000.26,3099.93,1.06442,14.1348,2.24507,4.32475
1.83,858,2.63968,2.44135,1.48582,-3.57067,1000.26,3018,1.03757,14.0689,2.1806,4.25892
1.84,858,2.65464,2.40584,1.5049,-3.53137,1000.25,2965.41,1.0363,14.0441,2.15309,4.23413
1.85,858,2.66979,2.37073,1.52423,-3.4919,1000.25,2950.03,1.07725,14.1272,2.18194,4.31719
1.86,858,2.68513,2.33601,1.54399,-3.45183,1000.25,2912.35,1.11936,14.1805,2.20371,4.37047
1.87,858,2.70068,2.3017,1.56414,-3.41185,1000.24,2835.67,1.1719,14.138,2.22163,4.32801
1.88,858,2.71643,2.26778,1.5849,-3.37209,1000.23,2755.19,1.23146,14.0798,2.2455,4.26976
1.89,858,2.73238,2.23426,1.60626,-3.33246,1000.23,2651.83,1.27748,13.9948,2.24778,4.18475
1.9,858,2.74855,2.20113,1.62795,-3.29316,1000.21,2516.55,1.29871,13.8521,2.2141,4.04209
1.91,858,2.76494,2.16839,1.64981,-3.25428,1000.2,2389.17,1.31084,13.721,2.17475,3.91097
1.92,858,2.78155,2.13604,1.67172,-3.21535,1000.19,2295.06,1.31636,13.6567,2.1413,3.84669
1.93,858,2.79838,2.10408,1.6936,-3.17608,1000.19,2202,1.30066,13.5909,2.08739,3.78095
1.94,858,2.81542,2.07251,1.71499,-3.13663,1000.18,2132.45,1.24442,13.542,2.0017,3.73197
1.95,858,2.83267,2.04134,1.73572,-3.0969,1000.18,2087.36,1.17638,13.5077,1.91314,3.69766
