dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
349,0.00765147,5.81378,0.00682385,-0.00346121,fluid
350,0.00765147,5.90322,0.00710574,-0.00283784,fluid
351,0.00765147,5.99266,0.00733083,-0.00219179,fluid
352,0.00765147,6.0821,0.0074973,-0.00152821,fluid
353,0.00765147,6.17155,0.00760384,-0.000852419,fluid
354,0.00765147,6.26099,0.00764958,-0.00016981,fluid
355,0.00881381,0,0.00881381,0,fluid
356,0.00881381,0.0894427,0.00877858,0.00078728,fluid
357,0.00881381,0.178885,0.00867316,0.00156827,fluid
358,0.00881381,0.268328,0.00849841,0.00233672,fluid
359,0.00881381,0.357771,0.00825572,0.00308648,fluid
360,0.00881381,0.447214,0.00794702,0.00381157,fluid
361,0.00881381,0.536656,0.00757479,0.00450619,fluid
362,0.00881381,0.626099,0.007142,0.00516479,fluid
363,0.00881381,0.715542,0.00665212,0.00578209,fluid
364,0.00881381,0.804984,0.00610905,0.00635317,fluid
365,0.00881381,0.894427,0.00551714,0.00687345,fluid
366,0.00881381,0.98387,0.00488113,0.00733879,fluid
367,0.00881381,1.07331,0.00420609,0.00774545,fluid
368,0.00881381,1.16276,0.00349742,0.00809019,fluid
369,0.00881381,1.2522,0.0027608,0.00837026,fluid
370,0.00881381,1.34164,0.0020021,0.0085834,fluid
371,0.00881381,1.43108,0.0012274,0.00872793,fluid
372,0.00881381,1.52053,0.000442884,0.00880267,fluid
373,0.00881381,1.60997,-0.000345172,0.00880705,fluid
374,0.00881381,1.69941,-0.00113047,0.00874101,fluid
375,0.00881381,1.78885,-0.00190673,0.00860509,fluid
376,0.00881381,1.8783,-0.00266774,0.00840038,fluid
377,0.00881381,1.96774,-0.00340743,0.00812851,fluid
378,0.00881381,2.05718,-0.00411988,0.00779165,fluid
379,0.00881381,2.14663,-0.00479939,0.0073925,fluid
380,0.00881381,2.23607,-0.00544052,0.00693426,fluid
381,0.00881381,2.32551,-0.00603817,0.00642057,fluid
382,0.00881381,2.41495,-0.00658754,0.00585556,fluid
383,0.00881381,2.5044,-0.00708425,0.00524373,fluid
384,0.00881381,2.59384,-0.00752432,0.00458998,fluid
385,0.00881381,2.68328,-0.00790423,0.00389953,fluid
386,0.00881381,2.77272,-0.00822096,0.00317791,fluid
387,0.00881381,2.86217,-0.00847196,0.00243088,fluid
388,0.00881381,2.95161,-0.00865523,0.00166442,fluid
389,0.00881381,3.04105,-0.0087693,0.00088465,fluid
390,0.00881381,3.1305,-0.00881327,9.78091e-05,fluid
391,0.00881381,3.21994,-0.00878677,-0.000689814,fluid
392,0.00881381,3.30938,-0.00869003,-0.00147192,fluid
393,0.00881381,3.39882,-0.00852382,-0.00224226,fluid
394,0.00881381,3.48827,-0.00828946,-0.00299468,fluid
395,0.00881381,3.57771,-0.00798883,-0.00372315,fluid
396,0.00881381,3.66715,-0.00762433,-0.00442186,fluid
397,0.00881381,3.75659,-0.00719888,-0.00508521,fluid
398,0.00881381,3.84604,-0.00671587,-0.00570791,fluid
399,0.00881381,3.93548,-0.00617917,-0.00628498,fluid
400,0.00881381,4.02492,-0.00559308,-0.00681181,fluid
401,0.00881381,4.11437,-0.00496227,-0.00728417,fluid
402,0.00881381,4.20381,-0.00429178,-0.0076983,fluid
403,0.00881381,4.29325,-0.00358699,-0.00805088,fluid
404,0.00881381,4.38269,-0.00285352,-0.0083391,fluid
405,0.00881381,4.47214,-0.00209723,-0.00856066,fluid
406,0.00881381,4.56158,-0.00132418,-0.00871377,fluid
407,0.00881381,4.65102,-0.000540543,-0.00879722,fluid
408,0.00881381,4.74046,0.000247416,-0.00881033,fluid
409,0.00881381,4.82991,0.0010334,-0.00875302,fluid
410,0.00881381,4.91935,0.00181112,-0.00862572,fluid
411,0.00881381,5.00879,0.00257436,-0.00842947,fluid
