dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
408,0.0702972,4.80833,0.00673377,-0.069974,fluid
409,0.0702972,5.09117,0.025995,-0.0653143,fluid
410,0.0702972,5.37401,0.0431905,-0.0554643,fluid
411,0.0702972,5.65685,0.0569537,-0.0412066,fluid
412,0.0702972,5.9397,0.0661909,-0.0236743,fluid
413,0.0702972,6.22254,0.070168,-0.00426061,fluid
414,0.0791511,0,0.0791511,0,fluid
415,0.0791511,0.282843,0.0760061,0.02209,fluid
416,0.0791511,0.565685,0.066821,0.0424245,fluid
417,0.0791511,0.848528,0.0523258,0.0593877,fluid
418,0.0791511,1.13137,0.0336724,0.0716314,fluid
419,0.0791511,1.41421,0.0123431,0.0781827,fluid
420,0.0791511,1.69706,-0.00996708,0.078521,fluid
421,0.0791511,1.9799,-0.0314852,0.0726194,fluid
422,0.0791511,2.26274,-0.0505013,0.0609468,fluid
423,0.0791511,2.54558,-0.0655041,0.0444309,fluid
424,0.0791511,2.82843,-0.0753014,0.0243842,fluid
425,0.0791511,3.11127,-0.0791147,0.00239972,fluid
426,0.0791511,3.39411,-0.0766409,-0.0197755,fluid
427,0.0791511,3.67696,-0.0680766,-0.0403792,fluid
428,0.0791511,3.9598,-0.0541023,-0.057774,fluid
429,0.0791511,4.24264,-0.0358287,-0.0705776,fluid
430,0.0791511,4.52548,-0.0147078,-0.0777726,fluid
431,0.0791511,4.80833,0.00758188,-0.0787871,fluid
432,0.0791511,5.09117,0.029269,-0.0735406,fluid
433,0.0791511,5.37401,0.0486303,-0.0624499,fluid
434,0.0791511,5.65685,0.0641269,-0.0463965,fluid
435,0.0791511,5.9397,0.0745275,-0.026656,fluid
436,0.0791511,6.22254,0.0790056,-0.00479723,fluid
437,0.0890137,0,0.0890137,0,fluid
438,0.0890137,0.282843,0.0854768,0.0248425,fluid
439,0.0890137,0.565685,0.0751473,0.0477109,fluid
440,0.0890137,0.848528,0.0588459,0.0667877,fluid
441,0.0890137,1.13137,0.0378682,0.0805571,fluid
442,0.0890137,1.41421,0.0138811,0.0879247,fluid
443,0.0890137,1.69706,-0.011209,0.0883051,fluid
444,0.0890137,1.9799,-0.0354084,0.0816681,fluid
445,0.0890137,2.26274,-0.056794,0.0685411,fluid
446,0.0890137,2.54558,-0.0736662,0.0499673,fluid
447,0.0890137,2.82843,-0.0846843,0.0274226,fluid
448,0.0890137,3.11127,-0.0889728,0.00269873,fluid
449,0.0890137,3.39411,-0.0861907,-0.0222396,fluid
450,0.0890137,3.67696,-0.0765592,-0.0454106,fluid
451,0.0890137,3.9598,-0.0608437,-0.0649729,fluid
452,0.0890137,4.24264,-0.0402931,-0.0793719,fluid
453,0.0890137,4.52548,-0.0165405,-0.0874634,fluid
